Offset = -1.9 V
Zeit;Spannung_x;Spannung_y
0.0;-0.4593523368769823;-2.5022739956894493
0.0005;-0.4602391774128332;-2.503163336316072
0.001;-0.4593523368769823;-2.5022739956894493
0.0015;-0.4593523368769823;-2.503163336316072
0.002;-0.4593523368769823;-2.5022739956894493
0.0025;-0.4593523368769823;-2.5022739956894493
0.003;-0.4593523368769823;-2.5022739956894493
0.0035;-0.4593523368769823;-2.5022739956894493
0.004;-0.4593523368769823;-2.5022739956894493
0.0045;-0.4593523368769823;-2.5022739956894493
0.005;-0.4593523368769823;-2.5022739956894493
0.0055;-0.4593523368769823;-2.503163336316072
0.006;-0.4584654963411314;-2.503163336316072
0.0065;-0.4593523368769823;-2.5022739956894493
0.007;-0.4584654963411314;-2.503163336316072
0.0075;-0.4584654963411314;-2.5022739956894493
0.008;-0.4584654963411314;-2.5022739956894493
0.0085;-0.4584654963411314;-2.5022739956894493
0.009;-0.4584654963411314;-2.5013846550628256
0.0095;-0.4575786558052804;-2.5022739956894493
0.01;-0.4575786558052804;-2.5022739956894493
0.0105;-0.4584654963411314;-2.5022739956894493
0.011;-0.4584654963411314;-2.5022739956894493
0.0115;-0.4575786558052804;-2.5022739956894493
0.012;-0.4575786558052804;-2.5022739956894493
0.0125;-0.4575786558052804;-2.5022739956894493
0.013;-0.4575786558052804;-2.5022739956894493
0.0135;-0.4575786558052804;-2.5022739956894493
0.014;-0.4575786558052804;-2.5013846550628256
0.0145;-0.4566918152694295;-2.5013846550628256
0.015;-0.4566918152694295;-2.5022739956894493
0.0155;-0.4566918152694295;-2.5022739956894493
0.016;-0.4566918152694295;-2.5022739956894493
0.0165;-0.4575786558052804;-2.5013846550628256
0.017;-0.4566918152694295;-2.5022739956894493
0.0175;-0.4558049747335785;-2.5022739956894493
0.018;-0.4558049747335785;-2.5022739956894493
0.0185;-0.4566918152694295;-2.5022739956894493
0.019;-0.4566918152694295;-2.503163336316072
0.0195;-0.4558049747335785;-2.503163336316072
0.02;-0.4558049747335785;-2.503163336316072
0.0205;-0.4566918152694295;-2.503163336316072
0.021;-0.4558049747335785;-2.5022739956894493
0.0215;-0.4558049747335785;-2.503163336316072
0.022;-0.4558049747335785;-2.5022739956894493
0.0225;-0.4558049747335785;-2.5013846550628256
0.023;-0.4558049747335785;-2.5013846550628256
0.0235;-0.4549181341977276;-2.5022739956894493
0.024;-0.4549181341977276;-2.5013846550628256
0.0245;-0.4549181341977276;-2.5013846550628256
0.025;-0.4549181341977276;-2.5013846550628256
0.0255;-0.4549181341977276;-2.5013846550628256
0.026;-0.4549181341977276;-2.5022739956894493
0.0265;-0.4549181341977276;-2.5022739956894493
0.027;-0.45403129366187667;-2.5022739956894493
0.0275;-0.45403129366187667;-2.503163336316072
0.028;-0.45403129366187667;-2.5022739956894493
0.0285;-0.45403129366187667;-2.5004953144362028
0.029;-0.45403129366187667;-2.5022739956894493
0.0295;-0.45403129366187667;-2.5022739956894493
0.03;-0.45403129366187667;-2.5022739956894493
0.0305;-0.45403129366187667;-2.5022739956894493
0.031;-0.45403129366187667;-2.5022739956894493
0.0315;-0.4531444531260257;-2.5022739956894493
0.032;-0.4531444531260257;-2.5013846550628256
0.0325;-0.4531444531260257;-2.5022739956894493
0.033;-0.4531444531260257;-2.5013846550628256
0.0335;-0.4531444531260257;-2.5013846550628256
0.034;-0.4522576125901748;-2.5013846550628256
0.0345;-0.4522576125901748;-2.5004953144362028
0.035;-0.4531444531260257;-2.5013846550628256
0.0355;-0.4531444531260257;-2.5013846550628256
0.036;-0.4522576125901748;-2.5013846550628256
0.0365;-0.4522576125901748;-2.5013846550628256
0.037;-0.4513707720543238;-2.5004953144362028
0.0375;-0.4522576125901748;-2.5004953144362028
0.038;-0.4522576125901748;-2.5013846550628256
0.0385;-0.4522576125901748;-2.5013846550628256
