Offset = 0 V
Zeit;Spannung_x;Spannung_y
0.0;0.00889946605231396;-1.9725954037555753
0.001;0.0035784228372083213;-1.9886035350347884
0.002;3.1060693804561834e-05;-2.009058369447116
0.003;-0.006176823057152017;-2.0304025444860665
0.004;-0.011497866272257656;-2.053525400778263
0.005;-0.017705750023214235;-2.0802056195769514
0.006;-0.023026793238319875;-2.1051071571223936
0.007;-0.024800474310021754;-2.130008694667836
0.008;-0.025687314845872694;-2.1522422103334096
0.009;-0.026574155381723634;-2.171807704119114
0.01;-0.026574155381723634;-2.187815835398327
0.011;-0.025687314845872694;-2.202045285424294
0.012;-0.023913633774170814;-2.2144960541970153
0.013;-0.020366271630767055;-2.2233894604632445
0.014;-0.015932068951512356;-2.230504185476228
0.015;-0.011497866272257656;-2.235840229235966
0.016;-0.006176823057152017;-2.2393975917424576
0.017;-0.000855779842046378;-2.2393975917424576
0.018;0.006238944444761141;-2.2376189104892115
0.019;0.01333366873156866;-2.234950888609343
0.02;0.02042839301837618;-2.229614844849605
0.021;0.027523117305183697;-2.2225001198366217
0.022;0.034617841591991216;-2.213606713570392
0.023;0.041712565878798735;-2.202934626050917
0.024;0.047920449629755314;-2.190483857278196
0.025;0.05324149284486095;-2.176254407252229
0.026;0.05856253605996659;-2.15846759471977
0.027;0.062109898203370345;-2.1389021009340654
0.028;0.067430941418476;-2.1184472665217378
0.029;0.07097830356187976;-2.095324410229541
0.03;0.07807302784868728;-2.070422872684099
0.031;0.0833940710637929;-2.0437426538854107
0.032;0.08605459267134573;-2.020619797593214
0.033;0.08782827374304761;-1.9983862819276408
0.034;0.08782827374304761;-1.9797101287685588
0.035;0.08694143320719666;-1.963701997489346
0.036;0.08605459267134573;-1.949472547463379
0.037;0.08428091159964385;-1.9370217786906578
0.038;0.07984670892038914;-1.9272390317978054
0.039;0.07629934677698538;-1.9192349661581989
0.04;0.07186514409773069;-1.9138989223984613
0.041;0.067430941418476;-1.9103415598919695
0.042;0.062109898203370345;-1.9094522192653465
0.043;0.05590201445241377;-1.9103415598919695
0.044;0.048807290165606254;-1.9130095817718382
0.045;0.042599406414649675;-1.917456284904953
0.046;0.034617841591991216;-1.9245710099179365
0.047;0.028409957841034637;-1.9334644161841659
0.048;0.02131523355422712;-1.9441365037036413
0.049;0.01599419033912148;-1.9565872724763624
0.05;0.00801262551646302;-1.9717060631289525
0.051;0.0035784228372083213;-1.9894928756614112
0.052;-0.000855779842046378;-2.009058369447116
0.053;-0.006176823057152017;-2.0304025444860665
0.054;-0.011497866272257656;-2.053525400778263
0.055;-0.017705750023214235;-2.0802056195769514
0.056;-0.023026793238319875;-2.1059964977490164
0.057;-0.024800474310021754;-2.130008694667836
0.058;-0.026574155381723634;-2.1522422103334096
0.059;-0.025687314845872694;-2.171807704119114
0.06;-0.026574155381723634;-2.187815835398327
0.061;-0.025687314845872694;-2.202045285424294
0.062;-0.023913633774170814;-2.213606713570392
0.063;-0.020366271630767055;-2.2225001198366217
0.064;-0.016818909487363295;-2.230504185476228
0.065;-0.012384706808108596;-2.235840229235966
0.066;-0.007063663593002957;-2.2385082511158347
0.067;-0.000855779842046378;-2.2393975917424576
0.068;0.006238944444761141;-2.2385082511158347
0.069;0.01333366873156866;-2.2340615479827197
0.07;0.02042839301837618;-2.229614844849605
0.071;0.027523117305183697;-2.2233894604632445
0.072;0.034617841591991216;-2.213606713570392
0.073;0.040825725342947795;-2.202934626050917
0.074;0.047920449629755314;-2.190483857278196
0.075;0.05412833338071189;-2.174475725998983
0.076;0.05856253605996659;-2.15846759471977
0.077;0.06299673873922129;-2.1397914415606882
0.078;0.067430941418476;-2.1184472665217378
0.079;0.07097830356187976;-2.095324410229541
0.08;0.07807302784868728;-2.0695335320574757
0.081;0.0833940710637929;-2.042853313258788
0.082;0.08605459267134573;-2.0188411163399684
0.083;0.08782827374304761;-1.9974969413010177
0.084;0.08694143320719666;-1.978820788141936
0.085;0.08605459267134573;-1.9619233162361
0.086;0.0851677521354948;-1.948583206836756
0.087;0.08250723052794197;-1.9352430974374117
0.088;0.07984670892038914;-1.9263496911711824
0.089;0.07629934677698538;-1.918345625531576
0.09;0.07186514409773069;-1.9130095817718382
0.091;0.06654410088262505;-1.9103415598919695
0.092;0.06122305766751941;-1.9085628786387236
0.093;0.05590201445241377;-1.9094522192653465
0.094;0.048807290165606254;-1.9121202411452154
0.095;0.041712565878798735;-1.9165669442783302
0.096;0.034617841591991216;-1.9227923286646906
0.097;0.027523117305183697;-1.93168573493092
0.098;0.02131523355422712;-1.9432471630770183
0.099;0.0142205092674196;-1.9556979318497394
0.1;0.00801262551646302;-1.9708167225023294
0.101;0.0035784228372083213;-1.9877141944081653
0.102;-0.000855779842046378;-2.008169028820493
0.103;-0.006176823057152017;-2.0295132038594437
0.104;-0.010611025736406716;-2.053525400778263
0.105;-0.017705750023214235;-2.079316278950328
0.106;-0.023026793238319875;-2.1059964977490164
0.107;-0.025687314845872694;-2.129119354041213
0.108;-0.026574155381723634;-2.1513528697067863
0.109;-0.026574155381723634;-2.170918363492491
0.11;-0.027460995917574574;-2.187815835398327
0.111;-0.025687314845872694;-2.201155944797671
0.112;-0.023913633774170814;-2.2127173729437692
0.113;-0.021253112166617995;-2.2233894604632445
0.114;-0.016818909487363295;-2.230504185476228
0.115;-0.012384706808108596;-2.235840229235966
0.116;-0.007950504128853897;-2.2385082511158347
0.117;-0.0017426203778973179;-2.2393975917424576
0.118;0.006238944444761141;-2.2376189104892115
0.119;0.01244682819571772;-2.234950888609343
0.12;0.02042839301837618;-2.229614844849605
0.121;0.027523117305183697;-2.2225001198366217
0.122;0.033731001056140276;-2.213606713570392
0.123;0.040825725342947795;-2.20382396667754
0.124;0.047920449629755314;-2.190483857278196
0.125;0.05412833338071189;-2.176254407252229
0.126;0.05856253605996659;-2.159356935346393
0.127;0.06299673873922129;-2.1397914415606882
0.128;0.06654410088262505;-2.1193366071483606
0.129;0.07186514409773069;-2.096213750856164
0.13;0.07807302784868728;-2.070422872684099
0.131;0.08428091159964385;-2.0437426538854107
0.132;0.08605459267134573;-2.0197304569665913
0.133;0.08694143320719666;-1.9983862819276408
0.134;0.08694143320719666;-1.9797101287685588
0.135;0.08694143320719666;-1.962812656862723
0.136;0.08605459267134573;-1.948583206836756
0.137;0.0833940710637929;-1.9370217786906578
0.138;0.08073354945624009;-1.9272390317978054
0.139;0.07629934677698538;-1.9192349661581989
0.14;0.07275198463358162;-1.9130095817718382
0.141;0.067430941418476;-1.9103415598919695
0.142;0.062109898203370345;-1.9094522192653465
0.143;0.05590201445241377;-1.9094522192653465
0.144;0.049694130701457194;-1.9130095817718382
0.145;0.042599406414649675;-1.917456284904953
0.146;0.035504682127842156;-1.9236816692913137
0.147;0.028409957841034637;-1.932575075557543
