Offset = 0 V
Zeit;Spannung_x;Spannung_y
0.0;-0.04431096609874243;-1.5199210248044985
0.001;-0.04519780663459337;-1.5323717935772196
0.002;-0.04608464717044431;-1.5457119029765638
0.003;-0.04697148770629525;-1.559052012375908
0.004;-0.04785832824214619;-1.5706134405220062
0.005;-0.04963200931384807;-1.5848428905479732
0.006;-0.05051884984969901;-1.5972936593206943
0.007;-0.05140569038554995;-1.6106337687200385
0.008;-0.05229253092140089;-1.6239738781193827
0.009;-0.05317937145725183;-1.6373139875187268
0.01;-0.05495305252895371;-1.6506540969180707
0.011;-0.05583989306480465;-1.663104865690792
0.012;-0.05672673360065559;-1.6755556344635132
0.013;-0.05761357413650653;-1.6897850844894802
0.014;-0.05850041467235747;-1.7031251938888243
0.015;-0.05938725520820841;-1.7164653032881685
0.016;-0.06116093627991029;-1.7298054126875126
0.017;-0.06293461735161217;-1.7422561814602338
0.018;-0.0638214578874631;-1.755596290859578
0.019;-0.06470829842331405;-1.769825740885545
0.02;-0.065595138959165;-1.7840551909115119
0.021;-0.06736882003086686;-1.797395300310856
0.022;-0.06825566056671781;-1.8107354097102002
0.023;-0.07002934163841969;-1.8249648597361672
0.024;-0.07180302271012157;-1.8400836503887572
0.025;-0.07357670378182345;-1.8543131004147242
0.026;-0.07535038485352533;-1.8676532098140683
0.027;-0.07535038485352533;-1.8809933192134125
0.028;-0.0771240659252272;-1.8952227692393795
0.029;-0.07801090646107814;-1.9094522192653465
0.03;-0.07978458753278003;-1.9227923286646906
0.031;-0.08067142806863097;-1.9370217786906578
0.032;-0.08244510914033285;-1.9512512287166248
0.033;-0.08333194967618379;-1.964591338115969
0.034;-0.08510563074788566;-1.9797101287685588
0.035;-0.0859924712837366;-1.993939578794526
0.036;-0.08687931181958755;-2.008169028820493
0.037;-0.08776615235543848;-2.02239847884646
0.038;-0.08953983342714036;-2.036627928872427
0.039;-0.09131351449884224;-2.050857378898394
0.04;-0.09220035503469318;-2.065086828924361
0.041;-0.09397403610639507;-2.079316278950328
0.042;-0.09663455771394788;-2.093545728976295
0.043;-0.09663455771394788;-2.1077751790022625
0.044;-0.09752139824979883;-2.1220046290282295
0.045;-0.0992950793215007;-2.1371234196808193
0.046;-0.10106876039320259;-2.1513528697067863
0.047;-0.10195560092905352;-2.1664716603593765
0.048;-0.1037292820007554;-2.1807011103853435
0.049;-0.10550296307245728;-2.1940412197846877
0.05;-0.10727664414415916;-2.207381329184032
0.051;-0.10816348468001011;-2.2225001198366217
0.052;-0.10993716575171197;-2.2376189104892115
0.053;-0.11171084682341387;-2.251848360515179
0.054;-0.11348452789511573;-2.266077810541146
0.055;-0.1125976873592648;-2.2820859418203585
0.056;-0.11348452789511573;-2.2972047324729488
0.057;-0.11525820896681763;-2.3123235231255386
0.058;-0.11614504950266856;-2.327442313778129
0.059;-0.11791873057437044;-2.3425611044307186
0.06;-0.11880557111022139;-2.3567905544566856
0.061;-0.1214660927177742;-2.3701306638560298
0.062;-0.12323977378947608;-2.38524945450862
0.063;-0.12501345486117796;-2.40036824516121
0.064;-0.1259002953970289;-2.4154870358137996
0.065;-0.12767397646873077;-2.429716485839767
0.066;-0.12944765754043266;-2.444835276492357
0.067;-0.1303344980762836;-2.459064726518324
0.068;-0.13210817914798548;-2.474183517170914
0.069;-0.13388186021968734;-2.489302307823504
0.07;-0.13565554129138924;-2.505310439102717
0.071;-0.13742922236309113;-2.519539889128684
0.072;-0.139202903434793;-2.533769339154651
0.073;-0.1418634250423458;-2.549777470433864
0.074;-0.1436371061140477;-2.564006920459831
0.075;-0.14452394664989865;-2.5800150517390437
0.076;-0.14629762772160051;-2.594244501765011
0.077;-0.14807130879330238;-2.609363292417601
0.078;-0.14895814932915333;-2.623592742443568
0.079;-0.15161867093670617;-2.637822192469535
0.08;-0.15427919254425898;-2.652940983122125
0.081;-0.15605287361596085;-2.668059773774715
0.082;-0.1569397141518118;-2.682289223800682
0.083;-0.1587133952235137;-2.697408014453272
0.084;-0.16048707629521555;-2.713416145732485
0.085;-0.16314759790276837;-2.728534936385075
0.086;-0.1640344384386193;-2.745432408290911
0.087;-0.1658081195103212;-2.7605511989435008
0.088;-0.16758180058202307;-2.7756699895960906
0.089;-0.17024232218957588;-2.789899439622058
0.09;-0.17201600326127778;-2.8059075709012706
0.091;-0.17378968433297964;-2.819247680300615
0.092;-0.17556336540468154;-2.834366470953205
0.093;-0.1773370464763834;-2.849485261605795
0.094;-0.1791107275480853;-2.8646040522583847
0.095;-0.1817712491556381;-2.879722842910975
0.096;-0.18443177076319092;-2.893952292936942
